,txt,matter,citations
0,absolvição por insuficiência de provas para crime de tráfico inviável quando o comércio de drogas for atestado por policiais e pelas circunstâncias,"[3607, 3608]","['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art386_inc7', 'lei+11343+2006!art33_caput']"
1,A reincidência prevalece sobre a confissão espontânea,[],[]
2,apreensão do bem em posse do réu inverte o ônus da prova,"[3435, 3417, 5847]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180']"
3,tentativa de furto com concurso de agentes não admite a aplicação do princípio da insignificância,"[3417, 5555]",['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art155_inc4_par4']
4,Uso de arma de fogo desmuniciada impede o enquadramento como roubo circunstanciado,[5566],"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157', 'urn:lex:br:federal:lei:2003-12-22;10826']"
5,impossibilidade de concessão de indulto para crimes hediondos ou similares,[7942],['urn:lex:br:federal:constituicao:1988-10-05;1988!art5_inc18']
6,Alegação de absolvição por embriaguês sem comprovar que esta ocorreu de forma acidental,"[10949, 3402, 5560]",['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art28_inc2']
7,princípio da insignificância não pode ser considerado em casos de violência no âmbito das relações domésticas,"[10949, 3402, 5560]","['lei+11340+2006!art5', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art147_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art61']"
8,reconciliação não absolve agressor de crime de ameaça contra a vítima,"[10949, 3402]","['lei+11340+2006!art5', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art147_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art61']"
9,descumprimento de medidas protetivas por parte do agressor enseja em crime de desobediência,"[3595, 10949]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art330', 'lei+11340+2006!art5', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art147_caput']"
10,absolvição por insuficiência probatória não pode ser alegada quando a mercância for atestada por policiais e pelas circunstâncias,"[3607, 3608]","['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art386_inc7', 'lei+11343+2006!art33_caput']"
11,preponderância entre reincidência confissão espontânea,[],[]
12,rés furtiva encontrada com o réu transfere a este o ônus de provar que o bem lhe pertence,"[3435, 3417, 5847]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180']"
13,princípio da bagatela não pode ser alegado mediante furto com concurso de agentes,"[3417, 5555]",['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art155_inc4_par4']
14,Não se pode considerar roubo circunstanciado se a arma de fogo empregada pelo réu não tiver potencial lesivo,[5566],"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157', 'urn:lex:br:federal:lei:2003-12-22;10826']"
15,indulto inviável para réu condenado por crime hediondo ou assemelhado,[7942],['urn:lex:br:federal:constituicao:1988-10-05;1988!art5_inc18']
16,inviável absolver por embriaguês voluntária,"[10949, 3402, 5560]",['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art28_inc2']
17,crime de violência doméstica não admite aplicação do princípio da insignificância,"[10949, 3402, 5560]","['lei+11340+2006!art5', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art147_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art61']"
