q,bm25,tfidf,lsi_50,lsi_100,lsi_150,lsi_200,lsi_250,lsi_300,lsi_350,lsi_400,lda_50,lda_100,lda_150,lda_200,lda_250,lda_300,lda_350,lda_400
q0,0.5480677706827062,0.5764118617945567,0.49393253961029226,0.46119140996649305,0.49135913940625114,0.0,0.0,0.0,0.0,0.0,0.10746836048240074,0.16080750054244108,0.16164874712996755,0.0,0.0,0.0,0.0,0.03351521667536549
q1,0.925279347010806,0.8523971726985959,0.8867869005295375,0.887898871110215,0.8885835931182526,0.03570424856038615,0.03570424856038615,0.0,0.0,0.0,0.922187139213317,0.9069237335685971,0.9036193167236841,0.13870301847945993,0.13246566031082124,0.06639985871192101,0.0,0.0
q10,0.13406086670146197,0.0577368726433216,0.0,0.019376140574541813,0.018697666527124637,0.0,0.0,0.0,0.0,0.0,0.07845838655399583,0.04229149479576471,0.0,0.0,0.0,0.0,0.0,0.0
q11,0.9380030538746488,0.8733578358518077,0.9174759625918559,0.9175149103860253,0.9181996323940629,0.0,0.0,0.0,0.0,0.0,0.922187139213317,0.9069237335685971,0.9036193167236841,0.016809359099129857,0.10253055155329747,0.0,0.0,0.0
q12,0.7758285175304503,0.6708874324211692,0.6728594986529042,0.667373651157698,0.6477239972770473,0.018401861506456105,0.018401861506456105,0.016885546659090433,0.016885546659090433,0.016885546659090433,0.8332906639946529,0.9443751965506694,0.8971686853695351,0.01649249586102731,0.0,0.0,0.0,0.05149979272851439
q13,0.5456164796666694,0.5171444597667627,0.5584724060316323,0.5650697381014723,0.5736220752907805,0.0,0.0,0.0,0.0,0.0,0.30789924317918793,0.22582648868548996,0.24294520449709953,0.0,0.05015510448250916,0.11986944585969792,0.0,0.0
q14,0.5330552795530562,0.4184562294273956,0.453445766125629,0.3927817752208878,0.47238097172977167,0.0,0.0,0.0,0.0,0.0,0.24833043839029292,0.3975078611425754,0.3606693881196405,0.0,0.0,0.0,0.0,0.0
q15,0.9635825499105617,0.822976512281988,1.0,0.9811396373311051,0.9811396373311051,0.0,0.0,0.0,0.0,0.0,0.5651263305451277,0.9811396373311051,1.0,0.0,0.0,0.06482478787382219,0.0,0.0
q16,0.9435378264358646,0.760090989230028,0.7704232025484133,0.7053597671111547,0.7687738365460453,0.0,0.0,0.0,0.0,0.0,0.617054688767603,0.6057186069631484,0.39677429040277196,0.0,0.0,0.0,0.03786978549236603,0.0
q17,0.979091071710568,0.632059423503931,0.5067001089050654,0.6022393991062953,0.6022393991062953,0.0,0.0,0.0,0.0,0.0,0.6615574493464605,0.3616814503421488,0.42509187117526015,0.0,0.13478734410237475,0.0,0.0,0.10001307161417164
