,matter,q0,q1,q2,q3,q4,q5,q6,q7,q8,citations
0,"[4355.0, 3508.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:lei:1990-07-13;8069!art244', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_inc2_par2', 'lei+12403+2011!', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art273_par1']"
1,"[4355.0, 5566.0]",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_inc2_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art46_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_par2']"
2,"[4355.0, 3372.0]",0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art282_par6', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art155_par4', 'lei+12403+2011!', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'lei+8069+1990!art244', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc2']"
3,"[3372.0, 5555.0, 3633.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art73', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc3', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art492', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc2']"
4,[3632.0],2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593', 'urn:lex:br:federal:lei:1997-09-23;9503!art302_inc3_par1', 'urn:lex:br:federal:lei:1997-09-23;9503!art302', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc1']"
5,[3372.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art572', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art121_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art492_inc2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art29_caput', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art29_inc4', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc3', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art483', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art490_caput', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art490', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art564_par1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art482_par1']"
6,[10640.0],0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art244', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'lei+8069+1990!', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc4', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180']"
7,[4355.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art302', 'lei+11343+2006!art44', 'lei+8072+1990!art2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art4', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art312', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_inc1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319', 'lei+11343+2006!art33_caput', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art33', 'lei+12403+2011!', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art319_inc5']"
8,[7928.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art66', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art659', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art297', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art6_inc21', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art180', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art304']"
9,[3372.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art571_inc5', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art571_inc8', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art29_caput', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc3', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art422', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art593_inc2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art15', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14_inc2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art492_par1', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art482_par1']"
