,txt,matter,citations
0,réu alega culpa da vítima porém conduziu o veículo de modo imprudente e provocando o acidente,[3632],"['lei+9503+1997!art302', 'lei+9503+1997!art303']"
1,Paciente alega identidade civil comprovada estar empregado e bons antecedentes porém é acusado de crime de roubo qualificado representando risco a ordem pública,"[4355, 3419]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_par1']"
2,Paciente alega que a medida fere presunção de sua inocência,[4355],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313']
3,homicídio tentado e evasão do autor demostra a presença do periculum libertatis,[4355],"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14']"
4,menoridade pode ser comprovada por outros documentos que não o de identidade,[5566],['lei+8069+1990!art244']
5,paciente alega coação ilegal por excesso de prazo para conclusão da instrução criminal,[4355],"['lei+11343+2006!art33_caput', 'lei+11343+2006!art33']"
6,"testemunhas atestam que o réu tinha sinais claros de alcoolemia, com andar cambaleante, olhos vermelhos, andar trôpego e hálito com odor etílico",[3632],"['lei+8069+1990!art244, ‘urn:lex:br:federal:lei:1997-09-23;9503!art306']"
7,decisão dos jurados contrariam as provas porque reconhecidas a autoria e materialidade a absolvição só poderia ter ocorrido em função do excludente de ilicitude e isso não foi parte da tese defensiva,[3372],['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2']
8,Não houve esclarecimento das contradições das decisões dos quesitos incorrendo em nulidade do julgamento,[3372],['urn:lex:br:federal:lei:1997-09-23;9503!art306_inc2_par1']
9,réu alega nulidade da sentença proferida por juiz diferente daquele que conduziu a instrução,[3632],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art399_par2']
10,réu dirigia de forma imprudente pede compensação afirmando que a vítima provocou o acidente,[3632],"['lei+9503+1997!art302', 'lei+9503+1997!art303']"
11,Emprego e residência fixos e família não são suficientes para afastar a prisão preventiva considerando o crime de roubo qualificado,"[4355, 3419]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_par1']"
12,Comprovados o periculum libertatis e o fumus commissi delicti não há que se falar em violação da presunção de inocência,[4355],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313']
13,Paciente representa risco à órdem pública por ser acusado de tentativa de homicídio e ainda ter fugido do local do fato,[4355],"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14']"
14,réu alega que não sabia a idade do menor que concorreu para o crime,[5566],['lei+8069+1990!art244']
15,coação e contrangimento ilegal por demora demasiada da prisão cautelar,[4355],"['lei+11343+2006!art33_caput', 'lei+11343+2006!art33']"
16,embriaguês atestada por testemunhas e policiais que observaram fala embolada e halitose,[3632],"['lei+8069+1990!art244, ‘urn:lex:br:federal:lei:1997-09-23;9503!art306']"
17,legítima defesa não foi aventada pela defesa de modo que há contradição nos quesitos,[3372],['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2']
18,nulidade do julgamento deve ser admitida considerando que o juiz deveria ter se pronunciado acerca das decisões contraditórias nos quesitos anteriores,[3372],['urn:lex:br:federal:lei:1997-09-23;9503!art306_inc2_par1']
19,juiz que conduziu a instrução deve ser o mesmo a proferir a sentença,[3632],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art399_par2']
20,inviável a compensação de pena alegando que a o acidente foi provocado pela vítima,[3632],"['lei+9503+1997!art302', 'lei+9503+1997!art303']"
21,Liberdade do paciente indiciado por crime de roubo qualificado representa risco à órdem pública mesmo que ostente condições pessoais favoráveis,"[4355, 3419]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_par1']"
22,Segregação cautelar em nada ofende o princípio da presunção da inocência havendo forte indícios de materialidade e autoria ,[4355],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313']
23,necessária a prisão cautelar considerando a gravidade do delito de homicídio com posterior evasão do acusado,[4355],"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14']"
24,ônus de provar desconhecimento da condição de menoridade é da defesa,[5566],['lei+8069+1990!art244']
25,delonga injustificável da segregação cautelar,[4355],"['lei+11343+2006!art33_caput', 'lei+11343+2006!art33']"
26,réu recusou-se a realizar teste do bafômetro porém havia sinais claros de que estava embrigado,[3632],"['lei+8069+1990!art244, ‘urn:lex:br:federal:lei:1997-09-23;9503!art306']"
27,réu absolvido mesmo tendo os jurados o reconhecido autor do fato,[3372],['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2']
28,decisão dos jurados nos quesitos não são harmônicas entre si havendo necessidade de esclarecimento por parte do juiz,[3372],['urn:lex:br:federal:lei:1997-09-23;9503!art306_inc2_par1']
29,sentença proferida por magistrado incompente,[3632],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art399_par2']
