,txt,matter,citations
0,inviável a compensação de pena alegando que a o acidente foi provocado pela vítima,[3632],"['lei+9503+1997!art302', 'lei+9503+1997!art303']"
1,Liberdade do paciente indiciado por crime de roubo qualificado representa risco à órdem pública mesmo que ostente condições pessoais favoráveis,"[4355, 3419]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_par1']"
2,Segregação cautelar em nada ofende o princípio da presunção da inocência havendo forte indícios de materialidade e autoria ,[4355],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313']
3,necessária a prisão cautelar considerando a gravidade do delito de homicídio com posterior evasão do acusado,[4355],"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14']"
4,ônus de provar desconhecimento da condição de menoridade é da defesa,[5566],['lei+8069+1990!art244']
5,delonga injustificável da segregação cautelar,[4355],"['lei+11343+2006!art33_caput', 'lei+11343+2006!art33']"
6,"réu recusou-se a realizar teste do bafômetro porém havia sinais claros de que estava embrigado",[3632],"['lei+8069+1990!art244, ‘urn:lex:br:federal:lei:1997-09-23;9503!art306']"
7,réu absolvido mesmo tendo os jurados o reconhecido autor do fato,[3372],['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2']
8,decisão dos jurados nos quesitos não são harmônicas entre si havendo necessidade de esclarecimento por parte do juiz,[3372],['urn:lex:br:federal:lei:1997-09-23;9503!art306_inc2_par1']
9,sentença proferida por magistrado incompente,[3632],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art399_par2']
