name,CAT,NOTA,TE,TG,TR,UP,USE,name_stemmed
ABANDONO INTELECTUAL,['DPE DIREITO PENAL'],"

NOTA
CP: ""Abandono intelectual
        Art. 246 - Deixar, sem justa causa, de prover à instrução primária de filho em idade escolar:
        Pena - detenção, de quinze dias a um mês, ou multa.""
",,CRIME CONTRA A ASSISTÊNCIA FAMILIAR,,,,abandon intelect
ABANDONO MATERIAL,['DPE DIREITO PENAL'],,,CRIME CONTRA A ASSISTÊNCIA FAMILIAR,"['CÔNJUGE', 'FILHO MENOR', 'PENSÃO ALIMENTÍCIA', 'PRESTAÇÃO ALIMENTÍCIA']",,,abandon mater
ABOLITIO CRIMINIS,['DPE DIREITO PENAL'],,,ABOLITIO CRIMINIS TEMPORÁRIA,"['EXTINÇÃO DA PUNIBILIDADE', 'LEI PENAL MAIS BENÉFICA', 'PRINCÍPIO DA RETROATIVIDADE DA LEI']",ABOLIÇÃO DO DELITO,,aboliti criminil
ABOLITIO CRIMINIS TEMPORÁRIA,['DPE DIREITO PENAL'],,ABOLITIO CRIMINIS,,,DESCRIMINALIZAÇÃO TEMPORÁRIA,,aboliti criminil temporar
ABORTO,['DPE DIREITO PENAL'],"

NOTA
Interrupção de uma gravidez antes do marco de viabilidade do feto, ou seja, antes de o feto se tornar viável para vida extrauterina. (OMS)
",ABORTO EUGÊNICO,CRIME CONTRA A VIDA,"['GESTANTE', 'GRAVIDEZ', 'VIDA EXTRAUTERINA']",ABORTAMENTO,,abort
ABORTO CONSENTIDO,['DPE DIREITO PENAL'],"

NOTA

",,,,,ABORTO PROVOCADO COM O CONSENTIMENTO DA GESTANTE,abort consent
ABORTO ÉTICO,['DPE DIREITO PENAL'],,,,,,ABORTO NO CASO DE GRAVIDEZ RESULTANTE DE ESTUPRO,abort etic
ABORTO EUGENÉSICO,['DPE DIREITO PENAL'],,,,,,ABORTO EUGÊNICO,abort eugenes
ABORTO EUGÊNICO,['DPE DIREITO PENAL'],,,ABORTO,"['GESTANTE', 'GRAVIDEZ']",ABORTO EUGENÉSICO,,abort eugen
ABORTO NECESSÁRIO,['DPE DIREITO PENAL'],"

NOTA
Situação em que o aborto é realizado para fins de:
- salvar a vida da gestante;
- preservar a saúde física ou mental da gestante;
- interromper gestação de feto que apresenta problemas congênitos, que seriam fatais ou associados com enfermidades graves; 
- reduzir seletivamente o número de fetos para dimimuir a possibilidade de riscos associados a gravidezes múltiplas.
",,ABORTO,"['GESTANTE', 'GRAVIDEZ']",ABORTO TERAPÊUTICO,,abort necess
ABORTO NO CASO DE GRAVIDEZ RESULTANTE DE ESTUPRO,['DPE DIREITO PENAL'],"

NOTA
Aborto praticado por médico, em caso de gravidez resultante de estupro. (Art. 128, II, do CP)
",,ABORTO,"['ESTUPRO', 'GRAVIDEZ']",ABORTO ÉTICO,,abort no cas de gravid result de estupr
ABORTO PROVOCADO COM O CONSENTIMENTO DA GESTANTE,['DPE DIREITO PENAL'],"

NOTA
É o aborto provocado voluntariamente pela própria gestante ou por outrem que tenha recebido o consentimento dela. (Art. 124, do CP)
",ABORTO PROVOCADO PELA GESTANTE,ABORTO,"['ABORTO PROVOCADO POR TERCEIRO', 'ABORTO PROVOCADO SEM O CONSENTIMENTO DA GESTANTE']",ABORTO CONSENTIDO,,abort provoc com o consent da gest
ABORTO PROVOCADO PELA GESTANTE,['DPE DIREITO PENAL'],"

NOTA
É o aborto provocado voluntariamente pela própria gestante. (Art. 124, do CP)
",,ABORTO,"['GESTANTE', 'GRAVIDEZ']",,,abort provoc pel gest
ABORTO PROVOCADO POR TERCEIRO,['DPE DIREITO PENAL'],"

NOTA
É o aborto provocado por terceiro, podendo se dá com ou sem o consentimento da gestante. (Art. 125 e 126, do CP)
",ABORTO PROVOCADO SEM O CONSENTIMENTO DA GESTANTE,ABORTO,"['ABORTO PROVOCADO COM O CONSENTIMENTO DA GESTANTE', 'GESTANTE', 'GRAVIDEZ']",,,abort provoc por terc
ABORTO PROVOCADO SEM O CONSENTIMENTO DA GESTANTE,['DPE DIREITO PENAL'],"

NOTA
É o aborto provocado por terceiro, sem que haja o consentimento da gestante. (Art. 125 do CP)
",,ABORTO PROVOCADO POR TERCEIRO,['ABORTO PROVOCADO COM O CONSENTIMENTO DA GESTANTE'],,,abort provoc sem o consent da gest
ABORTO QUALIFICADO,['DPE DIREITO PENAL'],"

NOTA
É aquele que resulta em lesão corporal de natureza grave ou na morte da gestante. (Art. 127 do CP)
",,ABORTO,"['GESTANTE', 'GRAVIDEZ']",,,abort qualific
ABORTO SENTIMENTAL,['DPE DIREITO PENAL'],,,,,,ABORTO NO CASO DE GRAVIDEZ RESULTANTE DE ESTUPRO,abort sentiment
ABORTO TERAPÊUTICO,['DPE DIREITO PENAL'],"

NOTA

",,,,,ABORTO NECESSÁRIO,abort terap
ABRANDAMENTO DA PENA,"['DMI DIREITO MILITAR', 'DPE DIREITO PENAL']","

NOTA
O Código penal brasileiro, em seu art. 68, adota o sistema trifásico de aplicação da pena, para que haja a devida individualização da pena (Constituição Federal, art. 5º, inciso XLVI). Após a pena-base, verifica-se se há a presença, no fato criminoso, de circunstâncias agravantes e atenuantes, bem como de causas de aumento e diminuição da pena previstas em dispositivos diversos do Código Penal. Quanto ao abrandamento da pena, refere-se à incidência, após a fixação da pena, de benefícios tais como progressão de regime, transação penal, sursis processual
",,,"['ATENUAÇÃO DA PENA', 'REDUÇÃO DA PENA']",,,abrand da pen
ABSOLUTA IMPROPRIEDADE DO OBJETO,['DPE DIREITO PENAL'],,,,"['CRIME IMPOSSÍVEL', 'INEFICÁCIA ABSOLUTA DO MEIO', 'TEORIA OBJETIVA DO CRIME IMPOSSÍVEL']",,,absolut impropriedad do objet
ABSOLVIÇÃO,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,ABSOLVIÇÃO SUMÁRIA,,['SENTENÇA ABSOLUTÓRIA'],,,absolv
ABSOLVIÇÃO DA INSTÂNCIA,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Expressão substituída pelo Código de Processo Civil de 1973, pela expressão ""extinção do processo sem julgamento do mérito"", qual seja, a liberação do demandado dos efeitos do processo.(www.glossarioonline.com.br). ( Decreto-Lei 1.608/1939 ¿ Título VII ¿ Capítulo II ¿ Artigo 201 - Código de Processo Civil).  Súmula 216/STF. Extinção do processo. Absolvição de instância. Requisitos. «Para decretação da absolvição de instância pela paralisação do processo por mais de trinta dias, é necessário que o autor, previamente intimado, não promova o andamento da c
",,,['EXTINÇÃO DO PROCESSO SEM JULGAMENTO DO MÉRITO'],ABSOLVIÇÃO DE INSTÂNCIA,,absolv da inst
ABSOLVIÇÃO DE INSTÂNCIA,['DPC DIREITO PROCESSUAL CIVIL'],,,,,,ABSOLVIÇÃO DA INSTÂNCIA,absolv de inst
